countryname;Year;Inflation-consumer prices
Slovenia;2008;5,647423806
Spain;2008;4,07534336
Sweden;2008;3,437049106
Switzerland;2008;2,426041171
Austria;2009;0,506308828
Bulgaria;2009;2,753202239
Croatia;2009;2,378528459
Czechia;2009;1,019377353
Denmark;2009;1,30470991
Estonia;2009;-0,078408311
Finland;2009;-9,17E-07
Germany;2009;0,312739007
Greece;2009;1,210072692
Ireland;2009;-4,447546869
Italy;2009;0,774768131
Latvia;2009;3,534106729
Luxembourg;2009;0,368041998
Netherlands;2009;1,18977687
Norway;2009;2,197385869
Poland;2009;3,795392425
Portugal;2009;-0,835530022
Romania;2009;5,587420043
Slovenia;2009;0,839262247
Spain;2009;-0,287813084
Sweden;2009;-0,494460544
Switzerland;2009;-0,480481936
Austria;2010;1,81353439
Bulgaria;2010;2,438990605
Croatia;2010;1,030555053
Czechia;2010;1,472727273
Denmark;2010;2,31092437
Estonia;2010;2,97204512
Finland;2010;1,184135232
Germany;2010;1,103810378
Greece;2010;4,712989078
Ireland;2010;-0,918388645
Italy;2010;1,525516021
Latvia;2010;-1,08463595
Luxembourg;2010;2,273679116
Netherlands;2010;1,275305696
Norway;2010;2,418906395
Poland;2010;2,580693703
Portugal;2010;1,402572899
Romania;2010;6,091416686
Slovenia;2010;1,801170221
Spain;2010;1,799864577
Sweden;2010;1,157988027
Switzerland;2010;0,688238707
Austria;2011;3,286579149
Bulgaria;2011;4,219903466
Croatia;2011;2,272727273
Czechia;2011;1,917219136
Denmark;2011;2,758682261
Estonia;2011;4,981901315
Finland;2011;3,416807543
Germany;2011;2,075172837
Greece;2011;3,329853234
Ireland;2011;2,548978302
Italy;2011;2,780632729
Latvia;2011;4,370735599
Luxembourg;2011;3,410683411
Netherlands;2011;2,341070178
Norway;2011;1,284951588
Poland;2011;4,239401496
Portugal;2011;3,653011004
Romania;2011;5,789253288
Slovenia;2011;1,802851719
Spain;2011;3,196101888
Sweden;2011;2,961150738
Switzerland;2011;0,231349208
Austria;2012;2,485675622
Bulgaria;2012;2,954568298
Croatia;2012;3,412073491
Czechia;2012;3,287623066
Denmark;2012;2,397914857
Estonia;2012;3,933399873
Finland;2012;2,808336226
Germany;2012;2,008488848
Greece;2012;1,501526962
Ireland;2012;1,694741167
Italy;2012;3,041363332
Latvia;2012;2,257789244
Luxembourg;2012;2,662841655
Netherlands;2012;2,455547653
Norway;2012;0,696864111
Poland;2012;3,560371517
Portugal;2012;2,773338541
Romania;2012;3,334922677
Slovenia;2012;2,59741386
Spain;2012;2,446127824
Sweden;2012;0,888377507
Switzerland;2012;-0,692552018
Austria;2013;2,000156169
Bulgaria;2013;0,890093541
Croatia;2013;2,216582064
Czechia;2013;1,438297872
Denmark;2013;0,78907178
Estonia;2013;2,78056659
Finland;2013;1,478286157
Germany;2013;1,504723303
Greece;2013;-0,921269454
Ireland;2013;0,515099485
Italy;2013;1,219993423
Latvia;2013;-0,029454778
Luxembourg;2013;1,734039635
Netherlands;2013;2,506898527
Norway;2013;2,120486204
Poland;2013;0,991982606
Portugal;2013;0,274416667
Romania;2013;3,984712355
Slovenia;2013;1,769200859
Spain;2013;1,408581092
Sweden;2013;-0,04429297
Switzerland;2013;-0,217323155
Austria;2014;1,60581183
Bulgaria;2014;-1,418183803
Croatia;2014;-0,21519616
Czechia;2014;0,34398859
Denmark;2014;0,56402054
Estonia;2014;-0,106175147
Finland;2014;1,041196212
Germany;2014;0,906794
Greece;2014;-1,312260964
Ireland;2014;0,190916399
Italy;2014;0,24104743
Latvia;2014;0,620490637
Luxembourg;2014;0,628543985
Netherlands;2014;0,97603508
Norway;2014;2,041702867
Poland;2014;0,053821313
Portugal;2014;-0,278153367
Romania;2014;1,068309877
Slovenia;2014;0,199343827
Spain;2014;-0,151114838
Sweden;2014;-0,179638494
Switzerland;2014;-0,013202539
Austria;2015;0,896563335
Bulgaria;2015;-0,104633261
Croatia;2015;-0,464499005
Czechia;2015;0,309364548
Denmark;2015;0,452034154
Estonia;2015;-0,492326007
Finland;2015;-0,20792884
Germany;2015;0,514426137
Greece;2015;-1,735888048
Ireland;2015;-0,330959783
Italy;2015;0,0387904
Latvia;2015;0,174242244
Luxembourg;2015;0,474743161
Netherlands;2015;0,600248147
Norway;2015;2,171136654
Poland;2015;-0,874125874
Portugal;2015;0,487938624
Romania;2015;-0,594156437
Slovenia;2015;-0,525552286
Spain;2015;-0,50036571
Sweden;2015;-0,046784745
Switzerland;2015;-1,143908672
Austria;2016;0,891591753
Bulgaria;2016;-0,798649886
Croatia;2016;-1,125
Czechia;2016;0,683504209
Denmark;2016;0,25
Estonia;2016;0,148684908
Finland;2016;0,356684501
Germany;2016;0,491747008
Greece;2016;-0,825653978
Ireland;2016;0,020124774
Italy;2016;-0,094016657
Latvia;2016;0,140633335
Luxembourg;2016;0,290833333
Netherlands;2016;0,316666667
Norway;2016;3,55
Poland;2016;-0,664767331
Portugal;2016;0,607397075
Romania;2016;-1,544796668
Slovenia;2016;-0,054999542
Spain;2016;-0,202598
Sweden;2016;0,984269245
Switzerland;2016;-0,434618664
Austria;2017;2,081269114
Bulgaria;2017;2,061596194
Croatia;2017;1,129372103
Czechia;2017;2,450533985
