countryname;Year;gdp_capita_growth
Luxembourg;1995;0,017299922
Netherlands;1995;2,607973439
Norway;1995;3,61629501
Poland;1995;7,783275673
Portugal;1995;3,922373788
Romania;1995;6,448659414
Slovenia;1995;4,084713711
Spain;1995;2,304956975
Sweden;1995;3,549496646
Switzerland;1995;-0,188350744
Austria;1996;2,077849004
Bulgaria;1996;5,749369438
Croatia;1996;7,574334087
Czechia;1996;4,289887602
Denmark;1996;2,315081134
Estonia;1996;6,502787815
Finland;1996;3,323161929
Germany;1996;0,746098631
Greece;1996;0,936690434
Ireland;1996;6,533310502
Italy;1996;1,317106196
Latvia;1996;3,458749898
Luxembourg;1996;0,027251338
Netherlands;1996;2,944498363
Norway;1996;4,496943713
Poland;1996;6,013198116
Portugal;1996;3,115916891
Romania;1996;4,207522544
Slovenia;1996;2,977997223
Spain;1996;2,180923915
Sweden;1996;1,543089762
Switzerland;1996;0,028540639
Austria;1997;2,03015212
Bulgaria;1997;-13,59092238
Croatia;1997;6,687181292
Czechia;1997;-0,488660003
Denmark;1997;2,74063897
Estonia;1997;14,34720493
Finland;1997;6,081767933
Germany;1997;1,705899111
Greece;1997;3,09310254
Ireland;1997;9,913983476
Italy;1997;1,871809702
Latvia;1997;10,26510624
Luxembourg;1997;4,106640711
Netherlands;1997;3,713221701
Norway;1997;4,715277371
Poland;1997;6,289311515
Portugal;1997;3,935797399
Romania;1997;-4,57473043
Slovenia;1997;5,312842619
Spain;1997;3,154053715
Sweden;1997;3,00587082
Switzerland;1997;2,015283161
Austria;1998;3,379381517
Bulgaria;1998;4,484023771
Croatia;1998;2,314511577
Czechia;1998;-0,298733223
Denmark;1998;1,955365941
Estonia;1998;5,346912266
Finland;1998;5,174688616
Germany;1998;2,080701493
Greece;1998;2,865261522
Ireland;1998;7,637508057
Italy;1998;1,775084281
Latvia;1998;7,55943097
Luxembourg;1998;5,355837386
Netherlands;1998;4,004469195
Norway;1998;2,059202909
Poland;1998;4,584212344
Portugal;1998;4,279611481
Romania;1998;-1,826823974
Slovenia;1998;3,288868092
Spain;1998;3,871218257
Sweden;1998;4,187872416
Switzerland;1998;2,724284656
Austria;1999;3,560238251
Bulgaria;1999;-7,881073177
Croatia;1999;-0,419403115
Czechia;1999;1,481997833
Denmark;1999;2,627163777
Estonia;1999;-0,717827569
Finland;1999;4,147257296
Germany;1999;2,064126644
Greece;1999;2,265872734
Ireland;1999;9,290878857
Italy;1999;1,660889926
Latvia;1999;3,65871994
Luxembourg;1999;6,723966803
Netherlands;1999;4,346586273
Norway;1999;1,375486802
Poland;1999;4,707878067
Portugal;1999;3,320509064
Romania;1999;-0,220150555
Slovenia;1999;5,192843773
Spain;1999;3,986528831
Sweden;1999;4,119904342
Switzerland;1999;1,179005936
Austria;2000;2,941684391
Bulgaria;2000;5,105055789
Croatia;2000;3,965765929
Czechia;2000;4,302739521
Denmark;2000;3,377907183
Estonia;2000;9,556419015
Finland;2000;5,534413959
Germany;2000;2,738011952
Greece;2000;3,712729823
Ireland;2000;7,954806406
Italy;2000;3,835047138
Latvia;2000;6,866202088
Luxembourg;2000;5,510409395
Netherlands;2000;3,47747777
Norway;2000;2,650530907
Poland;2000;5,755022677
Portugal;2000;3,089053552
Romania;2000;2,593928181
Slovenia;2000;3,191938222
Spain;2000;4,73130026
Sweden;2000;4,46323889
Switzerland;2000;3,376157295
Austria;2001;0,929888174
Bulgaria;2001;5,911160323
Croatia;2001;7,155929966
Czechia;2001;3,304627146
Denmark;2001;0,588959763
Estonia;2001;6,55732351
Finland;2001;2,406829123
Germany;2001;1,465706308
Greece;2001;4,107764675
Ireland;2001;3,642469993
Italy;2001;1,949154819
Latvia;2001;7,844414886
Luxembourg;2001;1,854574681
Netherlands;2001;1,554104094
Norway;2001;1,551927584
Poland;2001;1,261675976
Portugal;2001;1,227263281
Romania;2001;6,696722599
Slovenia;2001;2,666860225
Spain;2001;3,200316831
Sweden;2001;1,0890081
Switzerland;2001;0,934949653
Austria;2002;0,986311884
Bulgaria;2002;8,195216445
Croatia;2002;5,741059062
Czechia;2002;1,709469581
Denmark;2002;0,136096455
Estonia;2002;7,612499711
Finland;2002;1,441153953
Germany;2002;-0,395913781
Greece;2002;4,300106546
Ireland;2002;4,129756702
Italy;2002;0,120722346
Latvia;2002;8,923682993
Luxembourg;2002;2,149609899
Netherlands;2002;-0,392036887
Norway;2002;0,832308717
Poland;2002;1,948404863
Portugal;2002;0,220543339
Romania;2002;7,655869434
Slovenia;2002;3,154679658
Spain;2002;1,314141243
Sweden;2002;1,945361697
Switzerland;2002;-0,826280428
Austria;2003;0,650068265
Bulgaria;2003;6,074061736
Croatia;2003;5,538321714
Czechia;2003;3,330406372
Denmark;2003;0,168251981
Estonia;2003;8,273723584
Finland;2003;1,768834943
Germany;2003;-0,58498367
Greece;2003;5,544647157
Ireland;2003;1,349387184
Italy;2003;-0,377262168
Latvia;2003;9,48207451
Luxembourg;2003;1,379893359
Netherlands;2003;-0,373331355
Norway;2003;0,354567463
Poland;2003;3,593265477
Portugal;2003;-1,30174198
Romania;2003;3,081963843
Slovenia;2003;3,132826585
Spain;2003;1,09441165
Sweden;2003;1,502556729
Switzerland;2003;-0,771333169
Austria;2004;1,930896642
Bulgaria;2004;7,317404312
Croatia;2004;4,141420906
Czechia;2004;4,704468209
Denmark;2004;2,511087487
Estonia;2004;7,441083902
Finland;2004;3,703837468
Germany;2004;1,184332726
Greece;2004;5,117469446
Ireland;2004;4,853456271
Italy;2004;0,819419873
Latvia;2004;9,918171139
Luxembourg;2004;2,760888181
Netherlands;2004;1,662443578
Norway;2004;3,401746154
Poland;2004;5,152304957
Portugal;2004;1,54562008
Romania;2004;11,05911322
