countryname;Year;GDP_per_capita
Austria;1995;30207,06743
Bulgaria;1995;2259,259226
Croatia;1995;4929,057722
Czechia;1995;5865,294606
Denmark;1995;35321,09808
Estonia;1995;3134,389753
Finland;1995;26246,27432
Germany;1995;31747,24494
Greece;1995;12779,08149
Ireland;1995;19158,45648
Italy;1995;20712,17987
Latvia;1995;2256,773604
Luxembourg;1995;51032,34964
Netherlands;1995;29301,19405
Norway;1995;34875,70433
Poland;1995;3700,959568
Portugal;1995;11781,36185
Romania;1995;1650,049224
Slovak Republic;1995;4882,511582
Slovenia;1995;10738,08876
Spain;1995;15460,91103
Sweden;1995;30254,29729
Switzerland;1995;50113,83212
Austria;1996;29645,94513
Bulgaria;1996;1470,192593
Croatia;1996;5299,641054
Czechia;1996;6573,196431
Denmark;1996;35621,98781
Estonia;1996;3380,926302
Finland;1996;25756,67771
Germany;1996;30599,7891
Greece;1996;13432,52622
Ireland;1996;20835,89737
Italy;1996;23122,93372
Latvia;1996;2360,171482
Luxembourg;1996;50444,35912
Netherlands;1996;29063,62365
Norway;1996;37321,9742
Poland;1996;4163,511954
Portugal;1996;12185,0914
Romania;1996;1633,010644
Slovak Republic;1996;5247,70081
Slovenia;1996;10796,73994
Spain;1996;16100,62158
Sweden;1996;33022,56495
Switzerland;1996;48092,6433
Austria;1997;26571,75236
Bulgaria;1997;1361,409384
Croatia;1997;5331,023439
Czechia;1997;6069,387624
Denmark;1997;32779,87905
Estonia;1997;3682,952301
Finland;1997;24682,29083
Germany;1997;27046,95655
Greece;1997;13015,9175
Ireland;1997;22551,11391
Italy;1997;21883,98727
Latvia;1997;2609,893087
Luxembourg;1997;46641,64088
Netherlands;1997;26744,96013
Norway;1997;36629,0309
Poland;1997;4137,008318
Portugal;1997;11575,50711
Romania;1997;1577,33656
Slovak Republic;1997;5172,417575
Slovenia;1997;10436,72607
Spain;1997;14722,37176
Sweden;1997;30324,45109
Switzerland;1997;41584,44178
Austria;1998;27212,46429
Bulgaria;1998;1820,448664
Croatia;1998;5712,589857
Czechia;1998;6526,596358
Denmark;1998;33346,48843
Estonia;1998;4093,392477
Finland;1998;25999,98617
Germany;1998;27395,94406
Greece;1998;13022,96488
Ireland;1998;24294,85477
Italy;1998;22365,18376
Latvia;1998;2893,799987
Luxembourg;1998;47445,38108
Netherlands;1998;27924,28181
Norway;1998;34803,46341
Poland;1998;4533,535655
Portugal;1998;12199,20639
Romania;1998;1852,554969
Slovak Republic;1998;5560,916178
Slovenia;1998;11131,56666
Spain;1998;15382,33486
Sweden;1998;30605,62272
Switzerland;1998;42680,58673
Austria;1999;27078,70816
